Date,Open,High,Low,Close,Volume
2006-10-02,10.73,10.84,10.61,10.69,178263043
2006-10-03,10.64,10.71,10.46,10.58,197724611
2006-10-04,10.59,10.78,10.45,10.77,209840785
2006-10-05,10.65,10.88,10.59,10.69,170994999
2006-10-06,10.63,10.72,10.54,10.6,116749486
2006-10-09,10.54,10.73,10.5,10.66,109583215
2006-10-10,10.65,10.65,10.44,10.54,132930378
2006-10-11,10.49,10.57,10.37,10.46,142969603
2006-10-12,10.52,10.77,10.51,10.75,148291297
2006-10-13,10.8,10.98,10.68,10.72,171055850
2006-10-16,10.74,10.84,10.68,10.77,127242738
2006-10-17,10.72,10.75,10.58,10.61,120273223
2006-10-18,10.68,11.23,10.56,10.65,286744199
2006-10-19,11.32,11.42,11.17,11.28,379251376
2006-10-20,11.28,11.43,11.24,11.42,159934621
2006-10-23,11.43,11.7,11.39,11.64,208175492
2006-10-24,11.6,11.67,11.46,11.58,115823631
2006-10-25,11.62,11.71,11.57,11.67,121331721
2006-10-26,11.7,11.8,11.59,11.74,108221302
2006-10-27,11.68,11.78,11.43,11.49,148747550
2006-10-30,11.43,11.56,11.36,11.49,124990523
2006-10-31,11.64,11.67,11.46,11.58,125413757
2006-11-01,11.59,11.63,11.19,11.31,153064387
2006-11-02,11.27,11.33,11.21,11.28,116391387
2006-11-03,11.34,11.36,11.11,11.18,107984345
2006-11-06,11.28,11.44,11.2,11.39,108680474
2006-11-07,11.49,11.57,11.45,11.5,131519458
2006-11-08,11.43,11.81,11.41,11.78,172897914
2006-11-09,11.84,12.1,11.73,11.91,230816229
2006-11-10,11.94,11.94,11.79,11.87,93511047
2006-11-13,11.89,12.06,11.81,12.05,112738724
2006-11-14,12.1,12.1,12.0,12.1,147384573
2006-11-15,12.15,12.27,12.0,12.01,164660251
2006-11-16,12.12,12.33,12.09,12.23,173577201
2006-11-17,12.16,12.28,12.14,12.26,116671170
2006-11-20,12.2,12.43,12.17,12.35,142760555
2006-11-21,12.49,12.66,12.44,12.66,155918931
2006-11-22,12.71,12.96,12.55,12.9,168094717
2006-11-24,12.79,13.3,12.79,13.09,129766952
2006-11-27,13.22,13.31,12.79,12.79,268879674
2006-11-28,12.91,13.14,12.84,13.12,259278880
2006-11-29,13.29,13.31,12.89,13.11,289532264
2006-11-30,13.17,13.24,13.01,13.09,217767193
2006-12-01,13.11,13.19,12.87,13.05,198879674
2006-12-04,13.13,13.15,12.93,13.02,177570666
2006-12-05,13.09,13.19,12.98,13.04,165793040
2006-12-06,12.95,13.06,12.81,12.83,159676468
2006-12-07,12.86,12.93,12.41,12.43,251432874
2006-12-08,12.46,12.77,12.43,12.61,196191289
2006-12-11,12.7,12.76,12.58,12.68,125146602
2006-12-12,12.66,12.69,12.22,12.31,258787312
2006-12-13,12.56,12.72,12.45,12.72,214379235
2006-12-14,12.72,12.86,12.61,12.65,208288213
2006-12-15,12.72,12.75,12.48,12.53,185030881
2006-12-18,12.52,12.57,12.08,12.21,180594470
2006-12-19,12.1,12.38,11.95,12.33,227936681
2006-12-20,12.35,12.38,12.11,12.11,142145458
2006-12-21,12.1,12.21,11.74,11.84,227618384
2006-12-22,11.92,12.01,11.66,11.74,153402130
2006-12-26,11.74,11.8,11.56,11.64,122782926
2006-12-27,11.16,11.71,10.97,11.65,485160788
2006-12-28,11.46,11.61,11.38,11.55,284705848
2006-12-29,11.99,12.2,11.91,12.12,269210753
2007-01-03,12.33,12.37,11.7,11.97,311433248
2007-01-04,12.01,12.28,11.97,12.24,214031636
2007-01-05,12.25,12.31,12.06,12.15,208817119
2007-01-08,12.28,12.36,12.18,12.21,199431337
2007-01-09,12.35,13.28,12.16,13.22,838036682
2007-01-10,13.54,13.97,13.35,13.86,739605951
2007-01-11,13.71,13.83,13.59,13.69,360565688
2007-01-12,13.51,13.58,13.32,13.52,328246485
2007-01-16,13.67,13.89,13.64,13.87,311365418
2007-01-17,13.94,13.94,13.55,13.56,420187362
2007-01-18,13.16,13.16,12.72,12.72,591823435
2007-01-19,12.66,12.81,12.59,12.64,341178439
2007-01-22,12.73,12.74,12.24,12.4,363643399
2007-01-23,12.25,12.5,12.22,12.24,302148959
2007-01-24,12.38,12.45,12.3,12.39,232175503
2007-01-25,12.44,12.64,12.29,12.32,226758903
2007-01-26,12.44,12.48,12.14,12.2,246756566
2007-01-29,12.33,12.38,12.22,12.28,225616314
2007-01-30,12.35,12.36,12.18,12.22,144691316
2007-01-31,12.12,12.29,12.05,12.25,214117890
2007-02-01,12.32,12.32,12.11,12.11,166231303
2007-02-02,12.02,12.18,11.96,12.11,155435735
2007-02-05,12.04,12.18,11.99,11.99,145164194
2007-02-06,12.06,12.07,11.84,12.02,216257825
2007-02-07,12.07,12.34,11.94,12.31,267266804
2007-02-08,12.2,12.36,12.2,12.31,169853250
2007-02-09,12.27,12.31,11.89,11.9,215234936
2007-02-12,12.06,12.17,11.95,12.13,181112792
2007-02-13,12.17,12.18,12.04,12.09,148753815
2007-02-14,12.09,12.23,12.08,12.19,127054753
2007-02-15,12.21,12.23,12.11,12.17,90979119
2007-02-16,12.18,12.2,12.09,12.12,100012409
2007-02-20,12.09,12.31,12.02,12.27,154491757
2007-02-21,12.28,12.78,12.28,12.74,289010190
2007-02-22,12.97,12.97,12.65,12.79,209711292
2007-02-23,12.74,12.91,12.69,12.72,129581193
2007-02-26,12.83,12.86,12.52,12.66,154256942
2007-02-27,12.33,12.44,11.92,11.99,287027349
2007-02-28,11.86,12.23,11.86,12.09,230020119
2007-03-01,12.0,12.62,11.96,12.44,353965528
2007-03-02,12.4,12.51,12.17,12.2,215024215
2007-03-05,12.27,12.66,12.25,12.33,209992846
2007-03-06,12.54,12.62,12.49,12.6,180930456
2007-03-07,12.58,12.71,12.49,12.53,156606688
2007-03-08,12.66,12.67,12.49,12.57,127845900
2007-03-09,12.69,12.69,12.49,12.57,113025101
2007-03-12,12.58,12.86,12.57,12.84,182399553
2007-03-13,12.77,12.94,12.63,12.63,216963558
2007-03-14,12.66,12.86,12.56,12.86,199145982
2007-03-15,12.85,12.91,12.76,12.8,139874049
2007-03-16,12.79,12.86,12.76,12.8,142940707
2007-03-19,12.89,13.08,12.8,13.02,178300199
